"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"s1" 62 211 11 29 42 1 6 3 7 0 8 18 1 1 21 776 1 0 741 0 136 12 0 4 3 5 7 77 0 447 0 1 124 1 0 14 0 0 0 38 59 0 0 9 0 0 22 3 11 0
"s2" 139 160 7 575 103 2 4 40 4 0 6 23 36 0 18 239 22 0 1248 0 145 5 48 457 178 0 0 17 1 126 18 12 988 1 2 5 0 0 12 13 16 0 7 120 4 0 12 50 18 0
"s3" 0 620 13 0 0 0 39 3 14 16 6 13 0 0 47 218 6 26 0 0 1 5 4 2 0 0 63 7 0 10 2516 0 29 1 0 0 20 0 0 843 0 76 1 0 38 0 2 15 0 0
"s4" 36 1286 54 0 87 0 9 2 6 19 2 2706 0 3 172 114 1 334 215 0 2 114 15 0 17 0 17 0 2 2 763 0 103 0 9 3 39 985 8 250 0 22 202 17 11 0 1 6 7 0
"s5" 11 3 0 13 0 0 2 11 59 762 125 2 0 9 0 0 4 0 5 6 89 0 0 114 0 7 0 332 0 0 0 22 8 0 70 0 5 98 0 0 0 0 2108 35 5 0 0 0 64 194
"s6" 1 0 289 12 18 0 4 3 11 223 27 6 143 85 0 0 6 0 3 2 371 7 11 35 4 24 17 195 4 0 0 60 0 3 20 359 1 31 669 0 0 0 641 104 5 3 0 2 52 48
"s7" 4 467 3 0 0 0 0 27 30 119 0 29 82 0 0 10 0 0 129 8 0 0 0 38 0 7 7 0 0 11 0 0 9 0 1 63 0 14 13 0 0 0 12 0 3 41 0 0 208 0
"s8" 49 163 42 0 1565 0 0 7 190 165 58 8 19 88 0 0 5 285 78 4 0 0 0 1311 0 0 0 15 1 206 1 1 51 264 2 24 3 5 30 0 42 69 4 0 1 18 0 75 49 101
"s9" 154 2 57 0 3 2 0 0 821 53 287 39 0 0 7 9 6 0 3 0 52 0 0 47 0 6 0 2 0 0 0 0 145 4 2 221 0 0 8 11 76 6 6 0 0 1728 1 0 18 889
"s10" 49 1 18 0 0 9 2 0 440 12 388 15 1 5 53 7 3 7 0 0 11 2 266 19 86 285 8 0 0 4 0 0 177 2 4 64 1 27 0 1 62 256 60 0 0 529 1 5 111 250
